0.000000	0.000000	0.000000	0.000000	0.000000	1
0.080000	0.080000	0.100000	0.240000	0.900000	3
0.060000	0.060000	0.050000	0.250000	0.330000	2
0.100000	0.100000	0.150000	0.650000	0.300000	4
0.080000	0.080000	0.080000	0.980000	0.240000	2
0.090000	0.150000	0.400000	0.100000	0.660000	4
0.100000	0.100000	0.430000	0.290000	0.560000	4
0.150000	0.020000	0.340000	0.400000	0.010000	1
0.200000	0.140000	0.350000	0.720000	0.250000	2
0.000000	0.000000	0.500000	0.200000	0.850000	3
0.180000	0.180000	0.550000	0.300000	0.810000	3
0.060000	0.060000	0.510000	0.410000	0.300000	2
0.100000	0.100000	0.520000	0.780000	0.340000	4
0.100000	0.100000	0.700000	0.150000	0.900000	3
0.200000	0.200000	0.700000	0.300000	0.600000	4
0.120000	0.120000	0.750000	0.350000	0.800000	3
0.050000	0.070000	0.700000	0.010000	0.050000	1
0.100000	0.250000	0.100000	0.080000	0.330000	2
0.150000	0.320000	0.050000	0.270000	0.290000	2
0.200000	0.290000	0.250000	0.490000	0.560000	4
0.120000	0.280000	0.200000	0.780000	0.200000	2
0.180000	0.300000	0.370000	0.120000	0.660000	4
0.100000	0.270000	0.310000	0.290000	0.650000	4
0.180000	0.310000	0.320000	0.420000	0.280000	2
0.060000	0.290000	0.350000	0.760000	0.250000	2
0.090000	0.300000	0.680000	0.180000	0.850000	3
0.040000	0.280000	0.550000	0.250000	0.100000	1
0.090000	0.255000	0.600000	0.450000	0.250000	2
0.080000	0.325000	0.620000	0.940000	0.560000	3
0.150000	0.275000	0.800000	0.210000	0.810000	3
0.120000	0.245000	0.750000	0.310000	0.590000	4
0.150000	0.295000	0.750000	0.650000	0.240000	2
0.100000	0.256000	0.700000	0.760000	0.160000	2
0.180000	0.320000	0.040000	0.190000	0.820000	3
0.200000	0.450000	0.280000	0.310000	0.780000	3
0.060000	0.350000	0.120000	0.430000	0.290000	2
0.100000	0.420000	0.220000	0.720000	0.260000	2
0.180000	0.400000	0.320000	0.080000	0.330000	2
0.090000	0.330000	0.310000	0.260000	0.000000	1
0.190000	0.380000	0.380000	0.490000	0.450000	4
0.020000	0.330000	0.360000	0.760000	0.100000	2
0.200000	0.490000	0.600000	0.200000	0.780000	3
0.140000	0.490000	0.550000	0.290000	0.600000	4
0.180000	0.330000	0.610000	0.640000	0.250000	4
0.115000	0.350000	0.650000	0.270000	0.040000	1
0.170000	0.360000	0.800000	0.140000	0.660000	4
0.100000	0.390000	0.750000	0.310000	0.620000	4
0.130000	0.390000	0.850000	0.380000	0.770000	3
0.180000	0.340000	0.710000	0.710000	0.900000	3
0.090000	0.510000	0.020000	0.180000	0.670000	4
0.060000	0.500000	0.090000	0.280000	0.250000	2
0.230000	0.700000	0.190000	0.510000	0.450000	4
0.090000	0.550000	0.120000	0.780000	0.050000	2
0.240000	0.750000	0.320000	0.180000	0.860000	3
0.180000	0.720000	0.370000	0.290000	0.550000	4
0.100000	0.600000	0.330000	0.420000	0.260000	2
0.200000	0.520000	0.360000	0.840000	0.250000	4
0.090000	0.600000	0.660000	0.190000	0.590000	4
0.180000	0.510000	0.580000	0.330000	0.820000	3
0.080000	0.580000	0.600000	0.640000	0.100000	2
0.090000	0.610000	0.530000	0.750000	0.010000	2
0.060000	0.770000	0.720000	0.190000	0.560000	4
0.150000	0.790000	0.780000	0.300000	0.510000	4
0.200000	0.680000	0.730000	0.480000	0.280000	2
0.240000	0.580000	0.760000	0.800000	0.280000	4
0.250000	0.100000	0.030000	0.090000	0.150000	1
0.320000	0.200000	0.060000	0.260000	0.240000	1
0.290000	0.060000	0.190000	0.550000	0.510000	4
0.280000	0.100000	0.120000	0.280000	0.320000	2
0.300000	0.080000	0.400000	0.020000	0.670000	4
0.270000	0.120000	0.370000	0.290000	0.580000	4
0.310000	0.100000	0.410000	0.420000	0.750000	3
0.290000	0.150000	0.330000	0.660000	0.080000	1
0.300000	0.200000	0.520000	0.300000	0.530000	4
0.280000	0.160000	0.690000	0.330000	0.780000	3
0.255000	0.180000	0.500000	0.400000	0.100000	1
0.265000	0.060000	0.570000	0.750000	0.100000	2
